This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    28170
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:    17180

Total number of variables............................:     5278
                     variables with only lower bounds:      990
                variables with lower and upper bounds:     4288
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4248
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  3.6448740e+01 1.67e+02 4.79e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  3.6517761e+01 1.58e+02 3.49e+01  -1.0 8.43e+00    -  5.24e-02 5.36e-02f  1
   2  3.6543714e+01 1.55e+02 3.35e+01  -1.0 1.11e+01    -  4.16e-02 1.81e-02f  1
   3  3.6610880e+01 1.47e+02 3.28e+01  -1.0 1.63e+01    -  2.52e-02 4.61e-02f  1
   4  3.6659190e+01 1.39e+02 5.47e+01  -1.0 2.95e+01    -  3.15e-02 4.33e-02f  1
   5  3.6691998e+01 1.28e+02 4.55e+01  -1.0 1.91e+01    -  6.89e-02 5.17e-02f  1
   6  3.6251450e+01 1.02e+02 1.31e+02  -1.0 1.78e+01    -  2.87e-02 1.16e-01f  1
   7  3.6263435e+01 9.99e+01 1.35e+02  -1.0 1.59e+01    -  2.24e-02 1.96e-02f  1
   8  3.6262085e+01 9.67e+01 1.28e+02  -1.0 6.69e+00   0.0 6.07e-02 3.05e-02f  1
   9  3.6136117e+01 7.33e+01 1.02e+03  -1.0 1.14e+01  -0.5 2.52e-02 1.90e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.5991367e+01 7.22e+01 1.03e+03  -1.0 1.11e+01  -0.1 1.78e-02 1.58e-02f  1
  11  3.5377044e+01 6.84e+01 1.04e+03  -1.0 3.09e+00   0.4 8.52e-02 5.00e-02f  1
  12  3.3883029e+01 5.94e+01 2.63e+03  -1.0 3.20e+00   0.8 3.05e-03 1.18e-01f  1
  13  3.3863953e+01 5.93e+01 2.62e+03  -1.0 2.45e+00   2.1 2.68e-02 1.82e-03h  1
  14  3.3845929e+01 5.92e+01 3.65e+03  -1.0 7.30e+00   1.7 1.26e-02 1.20e-03h  1
  15  3.3812855e+01 5.91e+01 1.91e+04  -1.0 3.17e+00   2.1 2.61e-02 2.13e-03h  1
  16  3.2980723e+01 5.62e+01 1.78e+04  -1.0 3.51e+00   1.6 4.35e-02 4.69e-02f  1
  17  3.2150586e+01 5.35e+01 1.78e+04  -1.0 5.81e+00   1.1 1.12e-01 4.55e-02f  1
  18  3.2030050e+01 5.35e+01 1.82e+04  -1.0 5.32e+02   0.6 4.24e-04 9.43e-04h  1
  19  3.2025325e+01 5.35e+01 1.77e+04  -1.0 2.27e+01   1.1 5.45e-03 1.83e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.1291572e+01 5.13e+01 2.33e+04  -1.0 5.54e+00   1.5 1.87e-01 4.01e-02f  1
  21  3.0927737e+01 5.06e+01 2.47e+04  -1.0 4.12e+01   1.0 1.11e-03 1.38e-02f  1
  22  3.0845858e+01 5.04e+01 2.44e+04  -1.0 1.42e+01   1.4 9.94e-03 4.05e-03h  1
  23  2.8702684e+01 4.37e+01 3.03e+04  -1.0 7.22e+00   1.9 1.80e-02 1.22e-01f  1
  24  2.8549193e+01 4.34e+01 3.02e+04  -1.0 5.33e+00   2.3 2.51e-03 6.75e-03f  1
  25  2.8453840e+01 4.32e+01 2.99e+04  -1.0 2.34e+00   2.7 4.61e-02 5.55e-03h  1
  26  2.8437144e+01 4.31e+01 2.99e+04  -1.0 2.13e+00   2.2 4.18e-02 8.90e-04h  1
  27  2.6916510e+01 3.88e+01 3.64e+04  -1.0 1.43e+00   2.7 2.18e-01 9.46e-02f  1
  28  2.6208400e+01 3.75e+01 2.54e+04  -1.0 8.98e+00   2.2 3.40e-04 3.30e-02h  1
  29  2.5391023e+01 3.49e+01 1.68e+04  -1.0 7.97e-01   2.6 1.53e-01 6.87e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.5144048e+01 3.43e+01 1.98e+04  -1.0 2.96e+00   2.1 9.08e-04 1.76e-02f  1
  31  2.5024477e+01 3.39e+01 1.79e+04  -1.0 7.41e-01   2.6 1.50e-01 1.14e-02h  1
  32  2.4823540e+01 3.34e+01 1.72e+04  -1.0 4.75e+00   2.1 1.03e-02 1.40e-02h  1
  33  2.4802716e+01 3.33e+01 1.97e+04  -1.0 7.25e-01   2.5 1.59e-01 2.15e-03h  1
  34  2.2599050e+01 2.31e+01 1.98e+04  -1.0 1.99e+00   2.0 1.02e-03 2.78e-01f  1
  35  2.2082681e+01 1.99e+01 1.67e+04  -1.0 5.46e-01   2.5 1.70e-01 1.34e-01h  1
  36  2.1479616e+01 1.06e+01 1.22e+04  -1.0 4.77e-01   2.0 2.31e-01 4.35e-01f  1
  37  2.3522868e+01 1.93e+00 1.69e+04  -1.0 4.62e-01   1.5 4.52e-01 1.00e+00f  1
  38  2.4190467e+01 1.24e-02 1.91e+03  -1.0 4.09e-02   1.9 7.39e-01 1.00e+00f  1
  39  2.5421152e+01 1.27e-01 1.08e+03  -1.0 3.80e-02   1.5 4.39e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.7421902e+01 9.33e-01 4.28e+02  -1.0 1.11e-01   1.0 5.83e-01 1.00e+00f  1
  41  2.9224599e+01 5.70e+00 9.36e+02  -1.0 3.83e-01   0.5 2.64e-01 1.00e+00f  1
  42  1.8754696e+01 3.67e+01 8.09e+02  -1.0 6.53e-01   0.0 5.58e-01 6.40e-01f  1
  43  1.4118938e+01 2.05e+01 5.05e+02  -1.0 4.68e-01   0.5 5.22e-01 1.00e+00f  1
  44  1.2745577e+01 1.46e+00 2.20e+02  -1.0 2.10e-01   0.9 7.86e-01 1.00e+00f  1
  45  1.0041961e+01 7.90e+00 8.30e+02  -1.0 4.04e-01   0.4 1.00e+00 1.00e+00f  1
  46  8.8054502e+00 2.71e+01 4.38e+02  -1.0 1.00e+00  -0.1 1.00e+00 4.64e-01f  1
  47  7.9487226e+00 7.86e+00 9.10e+01  -1.0 4.53e-01   0.4 1.00e+00 8.05e-01f  1
  48  6.3857568e+00 9.28e+00 2.12e+01  -1.0 1.07e+00  -0.1 4.84e-01 1.00e+00f  1
  49  4.1804843e+00 1.82e+01 4.14e+01  -1.0 3.67e+00  -0.6 1.74e-01 5.23e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  3.8797439e+00 1.22e+02 4.69e+02  -1.0 3.95e+00  -0.2 5.27e-01 2.36e-01f  1
  51  3.8500632e+00 7.85e+01 2.80e+02  -1.0 1.58e+00   0.3 2.13e-01 2.78e-01h  1
  52  5.8329488e+00 5.61e+01 1.21e+03  -1.0 1.77e+00  -0.2 3.15e-01 8.91e-01h  1
  53  4.7079842e+00 2.39e+01 7.15e+02  -1.0 7.33e-01   0.2 1.81e-01 6.73e-01f  1
  54  3.8690819e+00 8.88e+00 1.02e+01  -1.0 7.34e-01  -0.3 3.07e-01 1.00e+00f  1
  55  3.6495412e+00 1.22e+01 2.28e+01  -1.0 4.80e+00  -0.8 2.88e-01 2.32e-01f  1
  56  3.1588353e+00 6.79e+01 4.97e+01  -1.0 1.31e+02    -  4.56e-02 9.09e-02f  1
  57  3.4853496e+00 5.97e+01 4.23e+01  -1.0 1.47e+00  -0.3 6.72e-01 6.55e-01h  1
  58  2.9710350e+00 6.58e+01 1.56e+02  -1.0 1.00e+01    -  4.15e-01 9.80e-01f  1
  59  3.0124003e+00 6.01e+01 1.42e+02  -1.0 7.01e-01   0.1 1.00e+00 8.72e-02h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  3.0616613e+00 5.50e+01 1.28e+02  -1.0 2.74e+00  -0.4 2.98e-01 9.45e-02h  3
  61  3.7158711e+00 3.86e+01 6.40e+01  -1.0 6.32e-01   0.1 1.00e+00 5.83e-01H  1
  62  3.7708148e+00 4.70e+01 3.11e+03  -1.0 1.03e+00  -0.4 2.86e-01 8.89e-01H  1
  63  4.0639244e+00 9.21e+00 2.59e+02  -1.0 3.49e-01   0.9 1.00e+00 1.00e+00h  1
  64  3.7848012e+00 8.48e+00 6.12e+02  -1.0 2.91e-01   0.4 1.00e+00 1.00e+00h  1
  65  3.5601611e+00 5.51e+00 8.46e+01  -1.0 2.73e-01  -0.1 1.00e+00 1.00e+00h  1
  66  3.2531856e+00 4.02e+01 8.91e+01  -1.0 3.28e+01    -  5.20e-02 1.08e-01f  2
  67  3.3100640e+00 3.76e+01 7.22e+01  -1.0 5.26e-01  -0.5 7.98e-01 2.28e-01h  2
  68  3.6943637e+00 4.36e+00 1.88e+01  -1.0 1.14e+00  -1.0 8.80e-01 1.00e+00h  1
  69  3.2883841e+00 1.91e+01 6.61e+01  -1.0 5.15e+00    -  8.50e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  3.3654641e+00 1.61e+01 1.91e+01  -1.0 1.29e-01   0.3 1.00e+00 6.58e-01h  1
  71  3.0667477e+00 4.36e+01 5.84e+01  -1.0 1.26e+01    -  1.58e-01 2.44e-01h  2
  72  3.2054069e+00 3.64e+01 3.51e+01  -1.0 2.50e-01  -0.2 1.00e+00 3.82e-01h  2
  73  2.9803259e+00 7.71e+01 3.41e+01  -1.0 5.08e+00    -  4.06e-01 1.00e+00h  1
  74  3.0541944e+00 1.72e+01 6.31e+01  -1.0 5.54e+00    -  1.00e+00 5.00e-01h  2
  75  3.0645749e+00 5.25e+00 1.56e+01  -1.0 1.19e+01    -  1.00e+00 1.00e+00h  1
  76  3.0122488e+00 1.02e+02 1.83e+01  -1.0 5.31e+00    -  8.97e-01 1.00e+00h  1
  77  3.0671352e+00 1.08e+02 9.28e+00  -1.0 7.79e-01    -  1.00e+00 1.00e+00H  1
  78  3.1016933e+00 8.11e+01 9.01e+00  -1.0 1.60e+00    -  1.00e+00 2.03e-01h  3
  79  3.0733941e+00 4.90e+01 1.83e+01  -1.0 5.14e+00    -  2.97e-01 2.11e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  3.0967226e+00 4.07e+01 8.62e+01  -1.0 9.43e-01    -  1.00e+00 1.00e+00h  1
  81  3.0875993e+00 3.35e+00 1.51e+01  -1.0 3.76e-01    -  1.00e+00 1.00e+00h  1
  82  3.0539348e+00 1.40e+01 7.72e+00  -1.0 2.68e-01    -  1.00e+00 1.00e+00h  1
  83  3.0445086e+00 1.41e+01 5.71e+00  -1.0 4.56e-01    -  1.00e+00 1.00e+00h  1
  84  3.0479393e+00 1.03e-01 3.50e-01  -1.0 4.94e-02    -  1.00e+00 1.00e+00h  1
  85  1.1885104e+00 1.28e+00 1.47e+00  -1.7 3.26e-01    -  1.00e+00 1.00e+00f  1
  86  6.7447861e-01 6.02e-01 3.02e-01  -1.7 3.04e-01    -  1.00e+00 1.00e+00h  1
  87  6.5468741e-01 2.25e-01 4.97e-02  -1.7 2.19e-01    -  1.00e+00 1.00e+00h  1
  88  3.3712469e-01 4.24e-01 2.21e-01  -2.5 1.55e-01    -  1.00e+00 1.00e+00h  1
  89  2.7061299e-01 3.62e-01 1.01e-02  -2.5 3.19e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  2.3157494e-01 9.86e-02 1.78e-02  -3.8 3.66e-01    -  9.68e-01 1.00e+00h  1
  91  1.6422561e-01 4.46e+00 7.98e-03  -3.8 9.71e-01    -  1.00e+00 6.49e-01h  1
  92  1.1616443e-01 1.23e+00 3.30e-03  -3.8 5.16e-01    -  1.00e+00 1.00e+00h  1
  93  1.1485323e-01 1.52e-01 6.20e-04  -3.8 1.35e-01    -  1.00e+00 1.00e+00h  1
  94  6.8835941e-02 2.05e+00 3.51e-03  -5.7 5.65e-01    -  7.64e-01 1.00e+00h  1
  95  4.1674274e-02 2.48e+00 3.18e-03  -5.7 8.13e-01    -  7.38e-01 9.93e-01h  1
  96  4.1939305e-02 3.48e-01 2.09e-02  -5.7 3.53e-02  -0.6 7.39e-02 1.00e+00h  1
  97  4.0909946e-02 2.04e-02 4.68e-03  -5.7 3.80e-03  -1.1 1.00e+00 1.00e+00h  1
  98  3.9853958e-02 1.46e-02 5.00e-04  -5.7 9.28e-03  -1.6 1.00e+00 1.00e+00h  1
  99  3.6681090e-02 1.37e+00 1.12e-03  -5.7 5.48e+00    -  3.34e-02 1.85e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  3.5092781e-02 7.39e-02 2.06e-03  -5.7 3.72e-02  -2.1 1.00e+00 1.00e+00h  1
 101  3.2396284e-02 2.60e-01 7.45e-04  -5.7 5.48e-02  -3.0 9.81e-01 5.71e-01h  1
 102  3.2277300e-02 1.20e-01 2.87e-03  -5.7 9.69e-03  -1.7 1.00e+00 5.43e-01h  1
 103  3.1668320e-02 4.72e-02 3.81e-04  -5.7 1.03e-02  -2.2 1.00e+00 1.00e+00f  1
 104  3.0379077e-02 1.73e-01 2.62e-04  -5.7 9.54e-02  -3.1 1.00e+00 7.26e-01h  1
 105  2.9543539e-02 1.72e-01 4.25e-04  -5.7 1.03e-01  -3.2 1.00e+00 1.00e+00h  1
 106  2.9536583e-02 2.94e-03 7.26e-05  -5.7 5.05e-03  -1.8 1.00e+00 1.00e+00h  1
 107  2.9336177e-02 4.80e-02 7.91e-05  -5.7 3.62e-02  -2.8 1.00e+00 1.00e+00h  1
 108  2.9175379e-02 6.17e-02 5.37e-05  -5.7 3.80e-02  -2.8 1.00e+00 1.00e+00h  1
 109  2.8691638e-02 1.44e+00 3.28e-04  -5.7 1.76e-01  -3.8 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  2.8716889e-02 3.58e-02 9.09e-05  -5.7 2.22e-02  -2.9 1.00e+00 1.00e+00h  1
 111  2.8698123e-02 4.36e-03 2.26e-05  -5.7 2.27e-02  -3.0 1.00e+00 1.00e+00h  1
 112  2.8697608e-02 7.77e-06 2.29e-05  -5.7 1.07e-03  -1.7 1.00e+00 1.00e+00h  1
 113  2.8695003e-02 8.39e-05 2.28e-05  -5.7 3.21e-03  -2.1 1.00e+00 1.00e+00h  1
 114  2.8694028e-02 1.17e-05 2.29e-05  -5.7 1.21e-03  -1.7 1.00e+00 1.00e+00h  1
 115  2.8691081e-02 1.03e-04 2.30e-05  -5.7 3.65e-03  -2.2 1.00e+00 1.00e+00h  1
 116  2.8689991e-02 1.44e-05 2.31e-05  -5.7 1.37e-03  -1.8 1.00e+00 1.00e+00h  1
 117  2.8686759e-02 1.27e-04 2.32e-05  -5.7 4.14e-03  -2.3 1.00e+00 1.00e+00h  1
 118  2.8662919e-02 8.87e-03 2.37e-05  -5.7 3.82e-02  -3.2 1.00e+00 1.00e+00h  1
 119  2.8642178e-02 9.74e-03 2.39e-05  -5.7 4.34e-02  -3.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  2.8641503e-02 1.74e-05 2.49e-05  -5.7 2.10e-03  -1.9 1.00e+00 1.00e+00h  1
 121  2.8638753e-02 1.92e-04 2.41e-05  -5.7 6.12e-03  -2.4 1.00e+00 1.00e+00h  1
 122  2.8617657e-02 1.35e-02 2.36e-05  -5.7 5.45e-02  -3.4 1.00e+00 1.00e+00h  1
 123  2.8461255e-02 7.15e-01 3.65e-04  -5.7 5.93e-01  -4.3 7.31e-01 1.00e+00h  1
 124  2.8528309e-02 1.32e+00 1.06e-02  -5.7 6.97e-02  -2.1 3.67e-01 8.26e-01h  1
 125  2.8468833e-02 2.44e-01 8.97e-03  -5.7 1.53e-02  -2.6 1.00e+00 1.00e+00h  1
 126  2.8445731e-02 1.04e-02 7.70e-04  -5.7 8.32e-03  -2.1 1.00e+00 1.00e+00h  1
 127  2.8378744e-02 3.88e-01 2.99e-03  -5.7 2.14e-02  -3.1 1.00e+00 1.00e+00h  1
 128  2.8378170e-02 1.72e-03 2.79e-05  -5.7 1.60e-03  -1.8 1.00e+00 1.00e+00h  1
 129  2.8371772e-02 4.00e-03 6.18e-05  -5.7 2.94e-03  -2.2 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  2.8221982e-02 3.67e+01 1.67e-02  -5.7 1.03e+00    -  1.32e-01 3.22e-01h  1
 131  2.8246723e-02 5.95e+00 2.69e-02  -5.7 2.35e-01  -2.7 1.00e+00 1.00e+00h  1
